,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
48,4EFB.02.143,3.981332846392953e-05,2.38987848481883e-09,2.645970400061452e-08,1.251924864859167e-08,4.010498501214837e-06,2.415041797346821e-09,0.01924452554542893,1.285138661668245e-07,2.608114895184113e-09,7.520898766460128e-11
49,4EFB.02.144,8.871051399018465e-12,7.56456137272075e-07,1.979937510043553e-12,1.273269631951385e-15,9.347344849036272e-10,1.243074161500869e-09,1.966623812135579e-18,7.491022797195514e-14,7.765382966133163e-09,1.412884954936844e-06
50,4EFB.02.145,6.008634251161426e-08,1.002322688585139e-06,1.238803181719342e-06,3.569926268626862e-12,4.313265470500708e-09,3.711381082522289e-07,0.01197962475974939,0.0009261372399157147,2.810339759854383e-05,5.028690766367459e-05
51,4EFB.02.146,3.819216915436794e-05,1.047303963942705e-05,1.524989417132285e-07,1.077243213296845e-06,5.356182630738009e-06,5.860230593308376e-06,0.01497237597380221,2.39922779440675e-09,4.884593998436982e-06,0.0001157440244933304
52,4EFB.02.147,1.224682172800568e-09,7.741051518544284e-06,1.198938747490073e-11,1.726373893333893e-09,7.904915841739345e-07,7.516463134706504e-11,0.0150756590918171,4.702306548163953e-05,4.502975622061597e-11,6.701471118352893e-05
53,4EFB.02.148,1.502998931633371e-10,6.04343660399836e-05,9.219490372270393e-09,3.005343423080511e-08,3.452253326392154e-08,3.601272469548585e-08,0.01052094442939422,1.558843614124668e-05,8.020654258779339e-09,1.372770313109652e-06
54,4EFB.02.149,4.155730404294665e-06,6.345545230348363e-09,6.253081481384813e-06,1.16759778259097e-11,0.0003380402760469133,1.084104663130132e-06,0.01758825975361179,0.0007814493119129272,6.319050271840688e-09,0.0007153671429513576
55,4EFB.02.15,0.03142807211276653,6.141221834978139e-05,0.0001534164074573968,7.972402787276883e-11,0.0003500283830643687,7.881772653244132e-05,0.01290320881525579,0.004646631998763865,3.08966237626252e-05,8.465674819002752e-06
56,4EFB.02.150,7.518109948926953e-07,4.804234635395625e-06,0.0001665586107534983,6.043493091101999e-10,4.285506851335759e-05,1.106765588058125e-10,0.002784396399158594,8.800366701181651e-05,1.555298326151041e-08,1.423401268869422e-05
57,4EFB.02.151,4.518724730945233e-09,8.731832444772796e-08,4.184488568146255e-07,4.379085135347646e-09,2.562725971803357e-14,3.538815628525324e-08,1.980975401518625e-10,9.653612152812e-10,9.272869178179941e-12,2.308986150990276e-09
