,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
181,4F55.02.82.gene,0.004465950147881523,0.00198751049842887,9.373050102559846e-05,0.05153067965532801,0.0006991513493264731
182,4F55.02.83.gene,0.001319449348076503,0.0008182425747340831,9.666484416984192e-06,0.0585375783266764,0.0003456064163366803
183,4F55.02.84.gene,0.002877295139615023,0.001142659792839456,4.76294881137661e-05,0.06806168027318883,0.001862493658162911
184,4F55.02.85.gene,0.002035570400852742,0.001144641439294831,7.690807421381214e-05,0.05767560309209259,0.0004053879318895885
185,4F55.02.86.gene,0.0009969838869034883,0.0005152594730800032,1.072896974049065e-05,0.05008700980161801,0.0002758543027699234
186,4F55.02.87.gene,0.001448485447738806,0.0007409032519686658,9.292839253351954e-06,0.05056153906242306,0.000285695441277851
187,4F55.02.88.gene,0.0005650458441759534,0.0009966622140959779,5.017505044484719e-05,0.06196590051842295,0.000492738672179181
188,4F55.02.89.gene,0.001362441519689554,0.0003480692697234732,2.963319871384485e-05,0.05527890752219994,0.0003656329832667978
189,4F55.02.9.gene,0.002387038556352704,0.0003829126960076588,5.744660884213892e-05,0.05588030677887832,0.0005370620587919698
190,4F55.02.90.gene,0.0007322713572388757,0.000536247017688057,2.434520638807362e-05,0.05284119353242468,0.0001504986324597673
191,4F55.02.91.gene,0.002767180241740674,0.0003584881114568472,5.834707189591544e-05,0.05720904351375954,0.0006620157379626354
192,4F55.02.92.gene,0.001926522013610981,0.0008878275435919049,0.0001100592529671912,0.05256570925787758,0.0004702685454591115
193,4F55.02.93.gene,0.000976843372333013,0.0004858438537037087,2.322151076340929e-05,0.05141893977561798,0.000200082318009419
194,4F55.02.94.gene,0.0008841379809312763,0.0007108378441536015,4.809027525783279e-06,0.06368114316990195,0.0003664117725031703
195,4F55.02.95.gene,0.001227186822545808,0.0003661373256557978,1.658843832073478e-05,0.05784006571743996,0.001154833700163051
196,4F55.02.96.gene,0.001108663867532874,0.0005937750608398118,5.187732421941213e-06,0.06317945957212909,0.000209948757926197
197,4F55.02.97.gene,0.0007693037282737924,0.003721345969635208,1.224461213369089e-05,0.05239995139877783,0.0003583486675715375
198,4F55.02.98.gene,0.0009917598885123096,0.0008462673081481351,1.339721939815953e-05,0.05199441672038128,0.000730161799128291
199,4F55.02.99.gene,0.002494003441329038,0.001915415962291367,0.0001150432057755371,0.06239473082590597,0.001465452153193609
200,5E8F.01.1.gene,0.00086680791236517,0.0003653657089988532,1.606788170000049e-05,0.0001294003280535385,0.05747695376665304
201,5E8F.01.10.gene,0.0002109882764024324,0.0008557143079875019,5.707853904652979e-06,0.0001849204670621302,0.05171323761695459
202,5E8F.01.100.gene,0.0007854217108475336,0.0007379614280210412,3.115022630429563e-05,0.0003215602648181102,0.06193491842006876
203,5E8F.01.11.gene,0.0006408529541471376,0.0009537364046983141,0.0001479526330207127,0.0005108316648350602,0.05159343445570646
204,5E8F.01.12.gene,0.001983027505634878,0.0007922911927411843,7.442477508972697e-05,0.000539300334081966,0.05110395490888149
205,5E8F.01.13.gene,0.0004381145821478673,0.0003245210873746082,1.510014951081415e-05,0.0002423630482777112,0.05323354939932715
206,5E8F.01.14.gene,0.0003660508808236805,0.0005509867378122302,1.974928325415389e-05,0.0001472779461341992,0.05564547645941427
