,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
97,4EFB.02.188.gene,0.001703157172887563,0.0001293026097765362,0.001844136131315933,0.0001047722513586471,0.0001930858645493145,8.309533727083034e-06,0.01182095913886061,0.001337402189179038,8.12383187875467e-05,0.0005581247769759218
98,4EFB.02.189.gene,0.0004625159880908173,0.0002185367663127325,0.0001904732267907865,0.0001019431525289189,0.0005710271328894925,8.113605799176045e-06,0.01036519031449719,0.0006949249601854063,2.848629205727179e-05,0.002548282804605921
99,5408.03.19.gene,0.0003793153856747995,0.0004311968701221105,0.0001477646208318296,0.01275371594980498,0.0003886709174719299,1.254960423966848e-05,0.0002462165643182311,6.400143469449573e-05,2.866863959238076e-05,7.975138071187635e-05
100,5408.03.190.gene,0.0009734792420073824,0.0003418501969981818,5.634676625088407e-05,0.01001453804235237,3.378225514291493e-05,9.233461287078703e-07,0.0004152775421165445,3.337835211956244e-05,3.355642849233182e-06,2.994980183773397e-05
101,5408.03.191.gene,0.00343822267597126,0.0004564326047465695,0.0005568275506018364,0.0122353527001897,6.911197386982145e-05,2.514521579424047e-05,8.67465286753891e-05,0.0001401173798210761,9.352869372624036e-05,1.92133734999143e-05
102,5408.03.192.gene,0.00209203200242639,0.0003049541711937929,8.258916529212395e-05,0.01142751299610351,7.086453624050143e-05,3.399746728518764e-05,0.0001668973052262499,5.341308038856594e-05,4.531121493767909e-05,3.15112584184081e-05
103,5408.03.193.gene,0.003716901063904282,0.000359562252382212,0.0006438973007553774,0.01336665774670277,6.098099007734752e-05,3.494733938803538e-05,0.0003956444204996558,0.0001078347439778018,0.0001012956213423833,0.0004201078178248074
104,5408.03.194.gene,0.001668777503624686,0.0009019714884330195,0.0002915679829237314,0.01119455503877185,8.178425451117509e-05,9.482830387120354e-06,0.0002020343210984233,5.218064060149687e-05,2.612788155009951e-05,0.0001585921934168148
105,5408.03.195.gene,0.0007686149651465549,0.0004950586844136287,0.0003112521887061479,0.01691749395169354,4.541227247735612e-05,3.304450842657346e-05,0.0001499437434670243,6.996850802325357e-05,0.0001023594857738513,0.0001828992310003651
106,5408.03.196.gene,0.003948222997209984,0.001529521532746449,5.588651897015176e-05,0.01343429924735834,7.509360234986363e-05,3.874602103520861e-06,0.001268517011599542,0.0001356144634722515,5.209892563553266e-05,3.432619110901176e-05
107,5408.03.197.gene,0.0001153925801969032,4.728511826694676e-05,7.348366445617833e-05,0.01054839580485493,5.158912687753548e-05,1.271145440917727e-06,2.680884266599299e-06,3.860251446792391e-06,2.192899703716951e-05,3.714454534886936e-05
