,Genes,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
38,5728.2.15,0.1016342311911938,0.0002108508065367046,0.0001338139109563151,2.80983762215032e-06,0.002056907231237415,1.972133270458134e-05,0.04893604990729951,0.2134951507093067,1.186588545866164e-05,0.0009062855591652435
39,5728.2.16,0.00410679303993508,0.0001758724043261006,2.428488368100644e-05,3.038248694992147e-07,0.001023605138857751,3.76010116841471e-06,0.0493846071486869,0.2188815770767831,2.892236844258643e-05,8.070959469401772e-05
40,5728.2.17,0.04261130359072152,0.0003894631687141899,0.0007551620194568163,0.0007984396348596689,0.001344163245586874,7.513960418686382e-05,0.05076220164361938,0.2070636948072002,0.0003372086688456633,0.0001393087450461693
41,5728.2.18,0.01893566555303083,0.00343426209941253,0.00139757222618571,0.0002576089049760233,0.00240313309122357,0.0002071016079044236,0.06417939579284404,0.2336989190580837,0.0001949798967672617,8.764157301482913e-05
42,5728.2.19,0.02968081213687542,0.001465886331845977,5.252689626793594e-06,3.235150293373076e-06,3.144062540917706e-09,1.998871541204638e-05,0.03316124575087497,0.2366728400836592,1.099834365086605e-06,6.788658471916352e-06
43,5728.2.2,0.03473271758880684,0.0007628627555073354,0.0004040875677830975,0.0005081635410353417,0.000488836267096502,0.0008436704009873193,0.04896128287014002,0.2065695025779424,6.7411137073398e-05,6.372964117859028e-05
44,5728.2.20,0.001818455339675528,0.002525424313362606,2.854417176961736e-05,2.133405662595318e-06,0.001182259675996906,6.121679470680466e-08,0.05131941671756306,0.2197483756532827,2.789173057533744e-05,0.0001005859667991673
45,5728.2.3,0.02213252101392257,0.001812847139055502,0.000880585014154718,0.0001758978391528696,0.000414872442437407,0.001103646430899958,0.04045206675942623,0.2316902033249443,0.00157223996937678,0.0001357316195355319
46,5728.2.4,0.007373677273215372,0.0007051587590447039,0.0009928372497049703,2.017765755706261e-07,0.0001091606468222623,1.260465512528342e-08,0.07829463228657009,0.2266672121426846,4.461198565125659e-06,3.881411584246748e-05
47,5728.2.5,0.004590337355930618,0.0006518407790714302,5.053355786822487e-05,7.72650629666928e-06,0.0002082088032730385,5.738773076512993e-08,0.03086152007581434,0.2141103642682029,1.08347967567135e-07,3.775011884901103e-05
48,5728.2.6,0.004168108758671666,0.001625738158543937,2.94542978004148e-05,1.165217893265263e-05,0.001132590369879489,1.619243064395389e-05,0.04342300043030464,0.2067655984785478,5.55752178135855e-05,0.0002925990516803712
49,5728.2.7,0.005117441944845365,5.456890630722471e-07,4.183434426518348e-05,2.536803817794113e-05,0.0006978631167148179,9.794885305794517e-05,0.0829593826881792,0.2098112205415376,2.530579514230581e-05,0.0004333159429932879
50,5728.2.8,0.01368403606399131,0.0003004474057655033,0.0001765771375407632,0.0002168850867467188,0.0002221262411585809,1.316470438339617e-06,0.1035843246176095,0.2111187176037634,3.585155382315128e-05,0.0003186812658225641
51,5728.2.9,0.009884851174805311,0.00136576306604631,1.895196456890085e-07,1.914727494406681e-06,0.0008934326288767988,5.548136538603694e-05,0.04070970037165156,0.2270178445596126,0.00119554655690866,1.909377553851108e-05
52,5B57.2.19,6.33004670264018e-13,1.770806241249268e-06,2.422645964491904e-07,4.091447802241082e-16,9.122767533708395e-13,5.428338554895492e-05,4.046848825355635e-08,6.001912653989872e-06,0.2345390688617586,1.14658275648574e-10
53,5B57.2.2,0.0001135809190208013,1.818436994710816e-05,0.0007360879665812935,1.884731192998022e-17,1.70193175019276e-21,4.96549248115493e-05,4.568799783080983e-06,2.323388283268502e-06,0.2134088406645518,1.072211424031135e-13
54,5B57.2.20,0.0003466454660824226,0.00046594043764107,0.0002685517368155295,0.001258099630109406,1.571967154644924e-09,1.050576577356385e-05,6.056970845572762e-06,9.910199883858228e-05,0.2005685538736553,1.237017758466246e-06
55,5B57.2.3,2.675313910044624e-05,0.0003274129232423594,1.968977583474882e-05,0.000312999935712795,1.144186328182247e-06,9.414225568808925e-05,9.982342693094175e-06,2.876651737360922e-07,0.2019581904501963,1.1544350021126e-06
56,5B57.2.4,1.650301922020946e-06,0.0001096385865263687,0.0002748931793457424,2.836926092798014e-05,4.975854637183362e-13,1.064326871869825e-05,2.534087250020389e-06,3.20385504709939e-07,0.2127342427085189,2.716248060975658e-09
57,5B57.2.5,2.837401925783054e-07,4.103184512547992e-08,0.0001472953998855177,7.094223241601903e-09,4.315404346091093e-07,2.622523249333074e-06,9.852978331398354e-11,2.477450164864543e-06,0.2002446905677226,1.071704236415384e-06
58,5B57.2.6,9.216563380870015e-05,0.0006491299082243288,0.002391259926789382,0.0003236251565791998,4.449326605986718e-13,5.882532048128927e-06,2.29435497137564e-07,2.508709850418161e-06,0.2334876166628992,3.561126811586949e-08
59,5B57.2.7,0.0003560748135402455,0.0002190089885681493,2.227206544055332e-05,0.0005450043023800217,8.216519296307109e-15,1.490498399279346e-05,6.000704819754498e-05,8.903758734191597e-06,0.2180030152147356,5.24878776330841e-08
60,5B57.2.8,2.551691601377216e-05,0.0005295650778742614,0.0001566849605238174,1.715020534879883e-05,7.738017430778296e-10,4.693871538543784e-06,1.187822574651765e-06,4.26296667494356e-06,0.2139779394897385,1.509960229140852e-06
61,5B57.2.9,7.738180184829421e-05,0.0008954093094638414,0.0001985440622302263,0.0006890460528126153,1.196501923224631e-19,5.19376460611899e-06,1.091162135019526e-07,3.292971578716911e-06,0.2005450918698821,5.611991282589477e-09
