,Genes,89D2,4F4D,5F62,4F55,5E8F
60,4F4D.01.63,0.0006265157941237767,0.05199624334927445,4.553824986572825e-06,0.0003219455939331714,0.0003220043911054015
61,4F4D.01.64,0.0008709666002454862,0.05315126631926163,7.648167947718458e-05,3.683832195964485e-05,0.0001397780741439737
62,4F4D.01.65,0.0005059429415035453,0.004271522214351248,1.773349506892429e-06,0.0004787450077693788,0.0003724015254731447
63,4F4D.01.66,1.865365531556574e-05,0.05124270984163513,2.85574810837124e-06,5.592457579802404e-05,3.907827887118229e-05
64,4F4D.01.67,5.812218005916733e-05,0.05746666680331003,4.357046866591205e-05,0.000341644829381637,0.0001823337435607104
65,4F4D.01.68,6.819082217424322e-05,0.05158942128137867,2.778112421155122e-05,0.0001178478461848526,0.0005681435110550591
66,4F4D.01.69,3.008770110294047e-06,0.05112782069363315,3.097781873197431e-06,8.734444083298898e-05,0.0004527427981341327
67,4F4D.01.7,1.761376819363461e-05,0.05187535047665381,2.706641120986817e-05,0.000219014159274217,9.895459245907685e-06
68,4F4D.01.70,2.243734201515434e-05,0.05131363250392563,3.524704899545559e-08,0.0001634190168093698,3.89060601813641e-05
69,4F4D.01.71,3.819295359424685e-07,0.01359345025126317,7.342772286990272e-05,0.001722515448346739,1.95226400063125e-06
70,4F4D.01.72,0.0001069747634994904,0.05837390020504176,9.000154028105663e-06,0.0006959791578494836,2.52056195774179e-05
71,4F4D.01.73,1.560078241606435e-05,0.07134428604447594,7.55727411209455e-06,5.240153300572857e-05,1.443620761968317e-05
72,4F4D.01.74,2.283671920664313e-06,0.006663532576417148,5.558852864395781e-06,0.00066224114464754,6.105650022426631e-05
73,4F4D.01.75,1.23984193074479e-06,0.05408763275386227,3.043148430372942e-05,0.0005155918530729952,0.0001018279248319456
74,4F4D.01.76,2.054224344743429e-05,0.05383851197325126,1.451030181326893e-06,0.000573614131784759,0.0002484302635562607
75,4F4D.01.77,6.398966785262242e-05,0.009228997779487812,1.258649369135468e-06,1.486807376504082e-05,0.0001849834208882849
76,4F4D.01.78,0.0002421381505342793,0.05583152702524634,6.231017884101958e-06,4.430727676680268e-08,0.0001142893687674586
77,4F4D.01.79,5.553035397417041e-05,0.05190316369950927,5.795860648493313e-08,0.001769112834966889,4.389404204863874e-05
78,4F4D.01.8,4.064376242634104e-05,0.05095300525861371,8.604463429127832e-06,0.0008063874187660796,8.121251049341747e-06
79,4F4D.01.80,0.0001850832289545388,0.05199942353706894,1.551944588392378e-05,0.0001606332068189566,0.0001913856754394733
80,4F4D.01.81,2.591916614737001e-05,0.05830466849134016,7.122749959956005e-06,4.654731416508687e-05,1.760323351314447e-05
81,4F4D.01.82,2.166780130517547e-05,0.05561732416973176,1.049799454019296e-05,0.001357292628717798,0.0003147442953576413
82,4F4D.01.83,5.563319756987808e-05,0.05631554785035481,4.97907002100216e-06,0.0007423015226316498,3.611142248169508e-05
83,4F4D.01.84,0.0005050392263450374,0.05728021988064424,4.851846274868288e-06,0.008458495318077396,9.034932772638958e-05
84,4F4D.01.85,0.0001096500138530661,0.05165040490335912,1.199272762765839e-07,0.0002346067868574407,0.0001312928652120755
85,4F4D.01.86,8.436722354126712e-06,0.0560108090857647,3.016919390529931e-05,5.270125858844246e-05,3.038253436435533e-05
86,4F4D.01.87,6.75002319413548e-05,0.06269865937559257,3.95252289663876e-05,0.0003288561615544753,8.70316256803103e-05
87,4F4D.01.88,6.189108389658924e-05,0.06113248448994971,4.606783389726939e-07,9.874916692905952e-07,2.336020994061495e-05
88,4F4D.01.89,9.871299829198036e-05,0.05508979566100251,6.947135628925167e-05,0.0005207415804684857,0.0001759479586784023
89,4F4D.01.9,0.0006448899204482987,0.0031673196490885,3.3927852617782e-06,2.804532062503099e-06,3.253539950076412e-06
90,4F4D.01.90,1.861790785314677e-05,0.05010744410954687,0.000102210175289308,0.0009689356321001131,1.665502423774589e-05
91,4F4D.01.91,0.0001840602868054104,0.05196110539194911,5.012545538301433e-08,3.485053878367437e-05,0.001189767659141165
92,4F4D.01.92,1.599986868506148e-05,0.0606069384693202,1.701882505258229e-06,8.827399241595325e-05,0.0004037610104344995
93,4F4D.01.93,2.989649156021926e-05,0.05485985837693538,5.542711385154166e-06,2.665715051131746e-05,0.0003533019187534366
94,4F4D.01.94,0.0006505695924071848,0.05000837323854977,5.796051826022024e-06,0.0007153681623505347,0.0007109244703988414
95,4F4D.01.95,2.928910418617945e-05,0.052197915028623,6.610857297652321e-06,0.0002911245188016372,0.0001440140780121065
96,4F4D.01.96,4.599661661434266e-05,0.0563410334862048,9.511435323505485e-07,0.0002660822659938762,1.697083052899635e-09
97,4F4D.01.97,1.958556569977388e-05,0.05840899759915339,5.792569494082916e-07,0.0002829624360511906,0.0001079815351906508
98,4F4D.01.98,4.770915433812855e-05,0.05207433073361653,6.484205425823078e-07,6.812275691389942e-05,0.000179039892186344
99,4F4D.01.99,0.0002224555267697326,0.05029365107701748,5.956962524964351e-05,8.109098062157424e-05,0.0002620534955271155
