,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
47,4F4D.01.51,2.520952271986907e-05,0.05289836410400307,4.692738926927385e-07,0.0002434054878831556,0.0001855974355821733
48,4F4D.01.52,0.0001474284740075325,0.06408628626235573,1.533407675147541e-06,0.0001080615294516762,1.19241246129492e-08
49,4F4D.01.53,4.907860463825075e-07,0.05305436401432226,1.992536413533008e-06,0.0003402092894642437,0.0001834054048731613
50,4F4D.01.54,3.494853321120318e-05,0.05092612270575805,7.576927389823938e-07,2.276038619349431e-06,0.0002494225776854112
51,4F4D.01.55,2.177238273323999e-05,0.05728259399562137,6.337160738436249e-05,1.586872213555978e-06,2.342210862678138e-08
52,4F4D.01.56,0.0002444684908227928,0.05202102563088831,4.040783269803385e-05,0.001768845503421516,2.942502925422049e-05
53,4F4D.01.57,4.905429719298923e-06,0.05778100514626583,1.875022810554001e-05,0.0008548222886377831,0.0002742313338817413
54,4F4D.01.58,7.020280000087622e-05,0.05131948769347684,1.837286253500438e-06,0.0003079795842871744,0.003880096757415849
55,4F4D.01.59,5.55081901649937e-05,0.05250654419093174,5.676522209308753e-07,2.628286148931051e-05,0.0001020194252238722
56,4F4D.01.6,8.772134513441286e-07,0.06123878918948004,2.365670351737812e-05,8.359130975278894e-05,9.311403456989148e-18
57,4F4D.01.60,1.638704512022289e-06,0.05100949961573432,1.433863778133842e-09,0.001229528669332789,2.415822741162772e-08
58,4F4D.01.61,4.587048997660736e-05,0.05269323622913196,4.503695731642322e-08,0.0001264140221427248,5.180032133126494e-07
59,4F4D.01.62,2.151254001397505e-06,0.05763077784828546,9.425531827545986e-07,0.0001556771604684912,2.276828445864329e-08
60,4F4D.01.63,0.0001374902472136686,0.05199624334927445,2.10778348018805e-06,0.0003219455939331714,1.002056109627353e-07
61,4F4D.01.64,0.0008709666002454862,0.05315126631926163,7.648167947718458e-05,0.001296017319982601,3.826154209624245e-20
62,4F4D.01.65,0.0005832263677396968,0.05236588082250412,6.483762523637426e-07,0.001428506233564449,7.51937135075721e-06
63,4F4D.01.66,3.35501866835191e-06,0.003454825724712685,2.736991427566487e-06,0.0001080284039176883,8.345373024389169e-07
64,4F4D.01.67,1.386898578004071e-05,0.05746666680331003,6.061912956062731e-08,0.000341644829381637,3.045602952223561e-06
